Value,Year,ProviderType,Purpose
119209,2012,COMPANY,EDUCATION
500159,2012,COMPANY,EDUCATION
25099,2012,COLLEGE,EDUCATION
890362,2012,COLLEGE,EDUCATION
6863585,2012,COLLEGE,EDUCATION
349413,2012,COLLEGE,EDUCATION
4964842,2012,COLLEGE,EDUCATION
425009,2012,COMPANY,EDUCATION
508926,2012,COMPANY,EDUCATION
38048,2012,COMPANY,EDUCATION
1084960,2012,COMPANY,EDUCATION
13145,2012,COLLEGE,EDUCATION
28605,2012,COLLEGE,EDUCATION
446919,2012,COLLEGE,EDUCATION
3302116,2012,COLLEGE,EDUCATION
83807,2012,COMPANY,EDUCATION
928686,2012,COMPANY,EDUCATION
999292,2012,COMPANY,EDUCATION
272487,2012,COLLEGE,EDUCATION
753063,2012,COLLEGE,EDUCATION
2675218,2012,COLLEGE,EDUCATION
194443,2012,COMPANY,EDUCATION
40158,2012,COLLEGE,EDUCATION
1011361,2012,COLLEGE,EDUCATION
16180396,2012,COLLEGE,EDUCATION
40158,2012,COLLEGE,EDUCATION
800797,2012,COLLEGE,EDUCATION
3452370,2012,COLLEGE,EDUCATION
5469404,2012,COMPANY,EDUCATION
9953729,2012,COMPANY,EDUCATION
135294,2012,COMPANY,EDUCATION
399165,2012,COMPANY,EDUCATION
167543,2012,COMPANY,EDUCATION
537497,2012,COMPANY,EDUCATION
134559,2012,COMPANY,EDUCATION
2871895,2012,COMPANY,EDUCATION
110849,2012,COMPANY,EDUCATION
1034936,2012,COMPANY,EDUCATION
5288079,2012,COMPANY,EDUCATION
20515327,2012,COMPANY,EDUCATION
102599,2012,COMPANY,EDUCATION
189102,2012,COMPANY,EDUCATION
397699,2012,COMPANY,EDUCATION
76204,2012,COMPANY,EDUCATION
2824,2012,COMPANY,EDUCATION
394733,2012,COMPANY,EDUCATION
256049,2012,COMPANY,EDUCATION
1024411,2012,COMPANY,EDUCATION
422084,2012,COMPANY,EDUCATION
1299637,2012,COMPANY,EDUCATION
2135,2012,COMPANY,EDUCATION
244710,2012,COLLEGE,EDUCATION
1745469,2012,COLLEGE,EDUCATION
3980034,2012,COMPANY,EDUCATION
17207872,2012,COMPANY,EDUCATION
17553,2012,COLLEGE,EDUCATION
81439,2012,COMPANY,EDUCATION
4864666,2012,COMPANY,EDUCATION
4984311,2012,COMPANY,EDUCATION
96286,2012,COMPANY,EDUCATION
492673,2012,COMPANY,EDUCATION
180837,2012,COMPANY,EDUCATION
410506,2012,COMPANY,EDUCATION
893260,2012,COMPANY,EDUCATION
993447,2012,COMPANY,EDUCATION
227629,2012,COLLEGE,EDUCATION
556876,2012,COLLEGE,EDUCATION
192961,2012,COLLEGE,EDUCATION
1659707,2012,COLLEGE,EDUCATION
3491142,2012,COLLEGE,EDUCATION
71956,2012,COMPANY,EDUCATION
4409280,2012,COMPANY,EDUCATION
1033364,2012,COMPANY,EDUCATION
18521,2012,COMPANY,EDUCATION
57511,2012,COMPANY,EDUCATION
575035,2012,COLLEGE,EDUCATION
2512806,2012,COLLEGE,EDUCATION
591668,2012,COMPANY,EDUCATION
943564,2012,COMPANY,EDUCATION
1238692,2012,COLLEGE,EDUCATION
2315700,2012,COLLEGE,EDUCATION
363680,2012,COMPANY,EDUCATION
958001,2012,COMPANY,EDUCATION
5852,2012,COMPANY,EDUCATION
177012,2012,COMPANY,EDUCATION
54200,2012,COMPANY,EDUCATION
319850,2012,COMPANY,EDUCATION
95914,2012,COMPANY,EDUCATION
226605,2012,COMPANY,EDUCATION
1006430,2012,COLLEGE,EDUCATION
30004,2012,COMPANY,EDUCATION
459335,2012,COMPANY,EDUCATION
4097586,2012,COMPANY,EDUCATION
12356911,2012,COMPANY,EDUCATION
364134,2012,COMPANY,EDUCATION
957806,2012,COMPANY,EDUCATION
473866,2012,COMPANY,EDUCATION
1057984,2012,COMPANY,EDUCATION
218404,2012,COMPANY,EDUCATION
959052,2012,COMPANY,EDUCATION
734735,2012,COMPANY,EDUCATION
1558252,2012,COMPANY,EDUCATION
1219,2012,COLLEGE,EDUCATION
136314,2012,COLLEGE,EDUCATION
799301,2012,COLLEGE,EDUCATION
232276,2012,COMPANY,EDUCATION
1420083,2012,COMPANY,EDUCATION
25097,2012,COMPANY,EDUCATION
563206,2012,COMPANY,EDUCATION
483643,2012,COLLEGE,EDUCATION
166059,2012,COMPANY,EDUCATION
243573,2012,COMPANY,EDUCATION
691555,2012,COLLEGE,EDUCATION
2133374,2012,COLLEGE,EDUCATION
366466,2012,COMPANY,EDUCATION
1936468,2012,COMPANY,EDUCATION
189649,2012,COMPANY,EDUCATION
425597,2012,COMPANY,EDUCATION
82260,2012,COMPANY,EDUCATION
119740,2012,COMPANY,EDUCATION
2755,2012,COMPANY,EDUCATION
148001,2012,COMPANY,EDUCATION
106434,2012,COLLEGE,EDUCATION
1497778,2012,COLLEGE,EDUCATION
18111371,2012,COLLEGE,EDUCATION
133687,2012,COMPANY,EDUCATION
770222,2012,COMPANY,EDUCATION
1483877,2012,COMPANY,EDUCATION
287979,2012,COLLEGE,EDUCATION
370496,2012,COMPANY,EDUCATION
2787014,2012,COMPANY,EDUCATION
336574,2012,COMPANY,EDUCATION
366106,2012,COMPANY,EDUCATION
4729,2012,COMPANY,EDUCATION
336297,2012,COLLEGE,EDUCATION
1891389,2012,COLLEGE,EDUCATION
7310626,2012,COLLEGE,EDUCATION
57256,2012,COMPANY,EDUCATION
839153,2012,COMPANY,EDUCATION
2066182,2012,COMPANY,EDUCATION
170182,2012,COMPANY,EDUCATION
218623,2012,COMPANY,EDUCATION
1800927,2012,COMPANY,EDUCATION
12062327,2012,COMPANY,EDUCATION
36908,2012,COMPANY,EDUCATION
160954,2012,COMPANY,EDUCATION
106566,2012,COLLEGE,EDUCATION
775940,2012,COLLEGE,EDUCATION
2589153,2012,COLLEGE,EDUCATION
552325,2012,COLLEGE,EDUCATION
2633503,2012,COLLEGE,EDUCATION
9434,2012,COMPANY,EDUCATION
43530,2012,COMPANY,EDUCATION
253937,2012,COMPANY,EDUCATION
451507,2012,COMPANY,EDUCATION
15186,2012,COMPANY,EDUCATION
78197,2012,COMPANY,EDUCATION
101450,2012,COLLEGE,EDUCATION
8537096,2012,COLLEGE,EDUCATION
279543,2012,COMPANY,EDUCATION
1646420,2012,COMPANY,EDUCATION
110736,2012,COMPANY,EDUCATION
1554878,2012,COMPANY,EDUCATION
11759855,2012,COMPANY,EDUCATION
1972844,2012,COMPANY,EDUCATION
2095608,2012,COMPANY,EDUCATION
143231,2012,COLLEGE,EDUCATION
1050612,2012,COLLEGE,EDUCATION
5941890,2012,COLLEGE,EDUCATION
523136,2012,COLLEGE,EDUCATION
10967059,2012,COLLEGE,EDUCATION
423026,2012,COMPANY,EDUCATION
692048,2012,COMPANY,EDUCATION
75298,2012,COLLEGE,EDUCATION
128317,2012,COLLEGE,EDUCATION
1874282,2012,COLLEGE,EDUCATION
65802,2012,COMPANY,EDUCATION
1025067,2012,COMPANY,EDUCATION
183021,2012,COMPANY,EDUCATION
237225,2012,COMPANY,EDUCATION
246772,2012,COLLEGE,EDUCATION
2071064,2012,COLLEGE,EDUCATION
380818,2012,COMPANY,EDUCATION
