,Institution,Year,Purpose,Region,Value
279,ASTONUNIVERSITY,2014,EDUCATION,WEST MIDLANDS,10392011
280,ASTONUNIVERSITY,2014,KNOWLEDGE EXCHANGE,WEST MIDLANDS,1690228
281,ASTONUNIVERSITY,2014,RESEARCH,WEST MIDLANDS,5943908
282,ASTONUNIVERSITY,2015,BUSINESS,WEST MIDLANDS,142153
283,ASTONUNIVERSITY,2015,EDUCATION,WEST MIDLANDS,9731726
284,ASTONUNIVERSITY,2015,KNOWLEDGE EXCHANGE,WEST MIDLANDS,1066970
285,ASTONUNIVERSITY,2015,RESEARCH,WEST MIDLANDS,7051849
286,ASTONUNIVERSITY,2016,BUSINESS,WEST MIDLANDS,116093
287,ASTONUNIVERSITY,2016,EDUCATION,WEST MIDLANDS,8729271
288,ASTONUNIVERSITY,2016,KNOWLEDGE EXCHANGE,WEST MIDLANDS,1047809
289,ASTONUNIVERSITY,2016,RESEARCH,WEST MIDLANDS,7779312
290,ASTRAZENECA,2014,RESEARCH,NORTH WEST,585159
291,ASTUTEMINDS,2012,EDUCATION,UNKNOWN,55837
292,ASTUTEMINDS,2013,EDUCATION,UNKNOWN,733002
293,ASTUTEMINDS,2014,EDUCATION,UNKNOWN,1481379
294,ASTUTEMINDS,2015,EDUCATION,UNKNOWN,2792609
295,ASTUTEMINDS,2016,EDUCATION,UNKNOWN,3811888
296,ATGTRAINING,2013,EDUCATION,UNKNOWN,2367018
297,ATGTRAINING,2014,EDUCATION,UNKNOWN,3469116
298,ATGTRAINING,2015,EDUCATION,UNKNOWN,3538123
299,ATGTRAINING,2016,EDUCATION,UNKNOWN,2063941
300,ATHENEWORKS,2016,RESEARCH,NORTH EAST,1685818
301,ATKEARNEY,2016,RESEARCH,LONDON,3821671
302,ATKINS,2015,RESEARCH,EAST OF ENGLAND,3221648
303,ATKINS,2016,RESEARCH,EAST OF ENGLAND,3727464
304,AUBIN,2013,BUSINESS,UNKNOWN,2299999
305,AURECON,2015,RESEARCH,OUTSIDE UK,177348
306,AURELIATRAINING,2012,EDUCATION,UNKNOWN,670678
307,AURELIATRAINING,2013,EDUCATION,UNKNOWN,912289
308,AURELIATRAINING,2014,EDUCATION,UNKNOWN,955383
309,AURELIATRAINING,2015,EDUCATION,UNKNOWN,957019
310,AURELIATRAINING,2016,EDUCATION,UNKNOWN,544495
311,AUTIFONYTHERAPEUTICS,2015,RESEARCH,LONDON,2421118
312,AUTOLUS,2015,RESEARCH,LONDON,1482960
313,AUTONOMOUSSURFACEVEHICLES,2015,RESEARCH,SOUTH EAST,714196
314,AVALONBEHAVIOURVENTURES,2015,RESEARCH,LONDON,438937
315,AVALONPRODUCE,2016,RESEARCH,SOUTH EAST,137307
316,AVANTAENTERPRISE,2012,EDUCATION,UNKNOWN,6895397
317,AVANTAENTERPRISE,2013,EDUCATION,UNKNOWN,7394728
318,AVANTAENTERPRISE,2014,EDUCATION,UNKNOWN,8202110
319,AVANTICOMMUNICATIONS,2015,RESEARCH,LONDON,2075472
320,AVANTICOMMUNICATIONS,2016,RESEARCH,LONDON,2125090
321,AVANTPARTNERSHIP,2012,EDUCATION,UNKNOWN,1466091
322,AVANTPARTNERSHIP,2013,EDUCATION,UNKNOWN,1628181
323,AVANTPARTNERSHIP,2014,EDUCATION,UNKNOWN,1899945
324,AVANTPARTNERSHIP,2015,EDUCATION,UNKNOWN,1863073
325,AVANTPARTNERSHIP,2016,EDUCATION,UNKNOWN,1373728
326,AWEPLC,2012,EDUCATION,UNKNOWN,421381
327,AWEPLC,2013,EDUCATION,UNKNOWN,483363
328,AWEPLC,2014,EDUCATION,UNKNOWN,379739
329,AWEPLC,2015,EDUCATION,UNKNOWN,14011
330,AXIASOLUTIONS,2012,EDUCATION,UNKNOWN,1028497
331,AXIASOLUTIONS,2013,EDUCATION,UNKNOWN,1212119
332,AXIASOLUTIONS,2014,EDUCATION,UNKNOWN,1306716
333,AXIASOLUTIONS,2015,EDUCATION,UNKNOWN,1524851
334,AXIASOLUTIONS,2016,EDUCATION,UNKNOWN,912159
335,AYLESBURYCOLLEGE,2012,EDUCATION,UNKNOWN,3806656
336,AYLESBURYCOLLEGE,2013,EDUCATION,UNKNOWN,4050053
337,AYLESBURYCOLLEGE,2013,RESEARCH,UNKNOWN,14336
338,AYLESBURYCOLLEGE,2014,EDUCATION,UNKNOWN,3807980
339,AYLESBURYCOLLEGE,2015,EDUCATION,UNKNOWN,3337546
340,AYLESBURYCOLLEGE,2016,EDUCATION,UNKNOWN,11502
341,AZELLON,2015,RESEARCH,LONDON,1622220
342,B2BENGAGE,2012,EDUCATION,UNKNOWN,2343060
343,B2BENGAGE,2013,EDUCATION,UNKNOWN,3580608
344,B2BENGAGE,2014,EDUCATION,UNKNOWN,3415180
345,B2BENGAGE,2015,EDUCATION,UNKNOWN,2310975
346,BABCOCKINTEGRATEDTECHNOLOGY,2016,RESEARCH,LONDON,694453
347,BABCOCKSKILLSANDDEVELOPMENTTRAINING,2012,EDUCATION,UNKNOWN,1977502
348,BABCOCKSKILLSDEVELOPMENTANDTRAINING,2013,EDUCATION,UNKNOWN,2200286
349,BABCOCKSKILLSDEVELOPMENTANDTRAINING,2014,EDUCATION,UNKNOWN,2179822
350,BABCOCKSKILLSDEVELOPMENTANDTRAINING,2015,EDUCATION,UNKNOWN,2301559
