,Value,Year,ProviderType,Purpose
518,755429.0,2012,COMPANY,EDUCATION
519,292851.0,2012,COLLEGE,EDUCATION
520,21910183.0,2012,COLLEGE,EDUCATION
521,119209.0,2012,COMPANY,EDUCATION
522,500159.0,2012,COMPANY,EDUCATION
523,25099.0,2012,COLLEGE,EDUCATION
524,890362.0,2012,COLLEGE,EDUCATION
525,6863585.0,2012,COLLEGE,EDUCATION
526,349413.0,2012,COLLEGE,EDUCATION
527,4964842.0,2012,COLLEGE,EDUCATION
528,425009.0,2012,COMPANY,EDUCATION
529,508926.0,2012,COMPANY,EDUCATION
530,38048.0,2012,COMPANY,EDUCATION
531,1084960.0,2012,COMPANY,EDUCATION
532,13145.0,2012,COLLEGE,EDUCATION
533,28605.0,2012,COLLEGE,EDUCATION
534,446919.0,2012,COLLEGE,EDUCATION
535,3302116.0,2012,COLLEGE,EDUCATION
536,83807.0,2012,COMPANY,EDUCATION
537,928686.0,2012,COMPANY,EDUCATION
538,999292.0,2012,COMPANY,EDUCATION
539,272487.0,2012,COLLEGE,EDUCATION
540,753063.0,2012,COLLEGE,EDUCATION
541,2675218.0,2012,COLLEGE,EDUCATION
542,194443.0,2012,COMPANY,EDUCATION
543,40158.0,2012,COLLEGE,EDUCATION
544,1011361.0,2012,COLLEGE,EDUCATION
545,16180396.0,2012,COLLEGE,EDUCATION
546,40158.0,2012,COLLEGE,EDUCATION
547,800797.0,2012,COLLEGE,EDUCATION
548,3452370.0,2012,COLLEGE,EDUCATION
549,5469404.0,2012,COMPANY,EDUCATION
550,9953729.0,2012,COMPANY,EDUCATION
551,135294.0,2012,COMPANY,EDUCATION
552,399165.0,2012,COMPANY,EDUCATION
553,167543.0,2012,COMPANY,EDUCATION
554,537497.0,2012,COMPANY,EDUCATION
555,134559.0,2012,COMPANY,EDUCATION
556,2871895.0,2012,COMPANY,EDUCATION
557,110849.0,2012,COMPANY,EDUCATION
558,1034936.0,2012,COMPANY,EDUCATION
559,5288079.0,2012,COMPANY,EDUCATION
560,20515327.0,2012,COMPANY,EDUCATION
561,102599.0,2012,COMPANY,EDUCATION
562,189102.0,2012,COMPANY,EDUCATION
563,397699.0,2012,COMPANY,EDUCATION
564,76204.0,2012,COMPANY,EDUCATION
565,2824.0,2012,COMPANY,EDUCATION
566,394733.0,2012,COMPANY,EDUCATION
567,256049.0,2012,COMPANY,EDUCATION
568,1024411.0,2012,COMPANY,EDUCATION
569,422084.0,2012,COMPANY,EDUCATION
570,1299637.0,2012,COMPANY,EDUCATION
571,2135.0,2012,COMPANY,EDUCATION
572,244710.0,2012,COLLEGE,EDUCATION
573,1745469.0,2012,COLLEGE,EDUCATION
574,3980034.0,2012,COMPANY,EDUCATION
575,17207872.0,2012,COMPANY,EDUCATION
576,17553.0,2012,COLLEGE,EDUCATION
577,81439.0,2012,COMPANY,EDUCATION
578,4864666.0,2012,COMPANY,EDUCATION
579,4984311.0,2012,COMPANY,EDUCATION
580,96286.0,2012,COMPANY,EDUCATION
581,492673.0,2012,COMPANY,EDUCATION
582,180837.0,2012,COMPANY,EDUCATION
583,410506.0,2012,COMPANY,EDUCATION
584,893260.0,2012,COMPANY,EDUCATION
