LeadROName,ProjectCategory,year,AwardPounds,ProviderType
BIOINTERACTIONS LIMITED,EDUCATION,2015,168789,COMPANY
BIOME TECHNOLOGIES PLC,RESEARCH,2016,315705,COMPANY
BIOME TECHNOLOGIES PLC,RESEARCH,2017,650489,COMPANY
BIOME TECHNOLOGIES PLC,EDUCATION,2015,97485,COMPANY
BIOMOTI LIMITED,RESEARCH,2017,662222,COMPANY
BIOMOTI LIMITED,RESEARCH,2018,78579,COMPANY
BIONEMA LIMITED,RESEARCH,2018,594179,COMPANY
BIOPHARMA PROCESS SYSTEMS LIMITED,RESEARCH,2018,78876,COMPANY
BIOPOWER TECHNOLOGIES LIMITED,RESEARCH,2017,289191,COMPANY
BIOSYSTEMS TECHNOLOGY LIMITED,RESEARCH,2018,192853,COMPANY
BIOSYSTEMS TECHNOLOGY LIMITED,RESEARCH,2018,69799,COMPANY
BIOTOOLOMICS LIMITED,RESEARCH,2018,67078,COMPANY
BIOTRONICS 3D LIMITED,EDUCATION,2015,259912,COMPANY
BIOVENTIX PLC,EDUCATION,2018,77433,COMPANY
BIOVERSITY INTERNATIONAL,RESEARCH,2017,293658,COMPANY
BIOVICI LIMITED,RESEARCH,2017,618809,COMPANY
BIOVORN LIMITED,RESEARCH,2018,69968,COMPANY
BIRKBECK COLLEGE,EDUCATION,2015,1015063,COLLEGE
BIRKBECK COLLEGE,EDUCATION,2018,1338211,COLLEGE
BIRKBECK COLLEGE,RESEARCH,2013,1687805,COLLEGE
BIRKBECK COLLEGE,RESEARCH,2014,2179170,COLLEGE
BIRKBECK COLLEGE,RESEARCH,2015,1224115,COLLEGE
BIRKBECK COLLEGE,RESEARCH,2016,1519756,COLLEGE
BIRKBECK COLLEGE,RESEARCH,2017,3835145,COLLEGE
BIRKBECK COLLEGE,RESEARCH,2018,2089062,COLLEGE
BIRKBECK COLLEGE,RESEARCH,2017,81539,COLLEGE
BIRKBECK COLLEGE,RESEARCH,2018,82332,COLLEGE
BIRMINGHAM CITY UNIVERSITY,EDUCATION,2017,135478,UNIVERSITY
BIRMINGHAM CITY UNIVERSITY,BUSINESS,2014,115262,UNIVERSITY
BIRMINGHAM CITY UNIVERSITY,BUSINESS,2016,113722,UNIVERSITY
BIRMINGHAM CITY UNIVERSITY,BUSINESS,2017,180723,UNIVERSITY
BIRMINGHAM CITY UNIVERSITY,BUSINESS,2018,96336,UNIVERSITY
BIRMINGHAM CITY UNIVERSITY,RESEARCH,2016,440025,UNIVERSITY
BIRMINGHAM CITY UNIVERSITY,RESEARCH,2017,683712,UNIVERSITY
BIRMINGHAM CITY UNIVERSITY,RESEARCH,2018,59989,UNIVERSITY
BIRMINGHAM HIGH PERFORMANCE TURBOMACHINERY LIMITED,RESEARCH,2018,388093,COMPANY
BLADEBUG LIMITED,RESEARCH,2017,58626,COMPANY
BLADON JETS (UK) LIMITED,RESEARCH,2017,935659,COMPANY
BLAKBEAR LTD,RESEARCH,2018,68724,COMPANY
BLATCHFORD PRODUCTS LTD,RESEARCH,2017,330784,COMPANY
BLEEPBLEEPS LIMITED,RESEARCH,2018,44951,COMPANY
BLOCK DOX LIMITED,RESEARCH,2018,769731,COMPANY
BLOCK DOX LIMITED,EDUCATION,2017,184615,COMPANY
BLOCK DOX LIMITED,BUSINESS,2018,350000,COMPANY
BLOKUR LTD,RESEARCH,2017,634255,COMPANY
BLOW MOULDING TECHNOLOGIES LTD,RESEARCH,2018,69964,COMPANY
BLU WIRELESS TECHNOLOGY LIMITED,RESEARCH,2017,69693,COMPANY
BLUE CASTLE BUSINESS SERVICES  LTD,RESEARCH,2018,197468,COMPANY
BLUE SKY BIO LTD,RESEARCH,2018,138384,COMPANY
BLUE TECH VENTURES LIMITED,RESEARCH,2017,171249,COMPANY
BLUEFROG DESIGN LIMITED,RESEARCH,2015,638548,COMPANY
BLUEPRINT PRODUCT DESIGN LIMITED,RESEARCH,2017,187385,COMPANY
BMLL TECHNOLOGIES LIMITED,RESEARCH,2017,698506,COMPANY
BMT SHIP & COASTAL DYNAMICS LIMITED,RESEARCH,2017,685887,COMPANY
BMW MOTORSPORT LIMITED,RESEARCH,2017,12577135,COMPANY
BODLE TECHNOLOGIES LIMITED,RESEARCH,2017,378223,COMPANY
BOMBARDIER AEROSPACE UK LIMITED,BUSINESS,2018,14036961,COMPANY
BOMBARDIER AEROSPACE UK LIMITED,RESEARCH,2017,37570,COMPANY
BOND DIGITAL HEALTH LTD,RESEARCH,2018,68583,COMPANY
BOTSANDUS LTD.,RESEARCH,2018,69946,COMPANY
BOURNEMOUTH UNIVERSITY,RESEARCH,2018,93345,UNIVERSITY
BOURNEMOUTH UNIVERSITY,RESEARCH,2018,12168,UNIVERSITY
BOURNEMOUTH UNIVERSITY,EDUCATION,2018,185750,UNIVERSITY
BOURNEMOUTH UNIVERSITY,BUSINESS,2016,60429,UNIVERSITY
BOURNEMOUTH UNIVERSITY,BUSINESS,2018,114872,UNIVERSITY
BOURNEMOUTH UNIVERSITY,RESEARCH,2015,146114,UNIVERSITY
BOURNEMOUTH UNIVERSITY,RESEARCH,2016,617225,UNIVERSITY
BOURNEMOUTH UNIVERSITY,RESEARCH,2017,557004,UNIVERSITY
BOURNEMOUTH UNIVERSITY,RESEARCH,2018,310732,UNIVERSITY
BRACKENMORE LTD,RESEARCH,2018,267940,COMPANY
BRAENDLER ENGINEERING LTD,RESEARCH,2018,535389,COMPANY
BRAINTRAIN2020 LIMITED,RESEARCH,2017,324023,COMPANY
BRAINTREE LIMITED,RESEARCH,2017,515908,COMPANY
BRANSCAN LIMITED,RESEARCH,2017,496681,COMPANY
BREATHEOX LIMITED,RESEARCH,2018,104720,COMPANY
"BRECKNELL, WILLIS & CO. LIMITED",RESEARCH,2018,983976,COMPANY
BRIGHTDAY ENGINEERING LTD,RESEARCH,2018,35167,COMPANY
BRILL POWER LIMITED,RESEARCH,2018,136105,COMPANY
BRISTOL AERO LTD,RESEARCH,2018,68851,COMPANY
BRISTOL WATER PLC,EDUCATION,2018,65784,COMPANY
BRIT INST OF INTERNATIONAL AND COMP LAW,RESEARCH,2018,198517,COMPANY
BRITISH BEET RESEARCH ORGANISATION,RESEARCH,2015,1587993,COMPANY
BRITISH BROADCASTING CORPORATION,RESEARCH,2018,506597,COMPANY
BRITISH TEXEL SHEEP SOCIETY LIMITED (THE),RESEARCH,2014,1017438,COMPANY
BRITISH TEXEL SHEEP SOCIETY LIMITED (THE),RESEARCH,2017,532364,COMPANY
