LeadROName,ProjectCategory,year,Region,AwardPounds
BATH SPA UNIVERSITY,RESEARCH GRANT,2014,SOUTH WEST,766260.0
BATH SPA UNIVERSITY,RESEARCH GRANT,2016,SOUTH WEST,79794.0
BATH SPA UNIVERSITY,RESEARCH GRANT,2017,SOUTH WEST,1429856.0
BE MORE DIGITAL LIMITED,CRD,2018,LONDON,46876.0
BEAMLINE DIAGNOSTICS LIMITED,COLLABORATIVE R&D,2018,LONDON,750594.0
BEKO PLC,FEASIBILITY STUDIES,2017,WEST MIDLANDS,104227.0
BELLVEDI LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,446637.0
BENNAMANN LTD,FEASIBILITY STUDIES,2017,SOUTH WEST,383770.0
BENTLEY MOTORS LIMITED,COLLABORATIVE R&D,2018,NORTH WEST,1327001.0
BERAN INSTRUMENTS LIMITED,COLLABORATIVE R&D,2015,SOUTH WEST,565322.0
BERINGAR LTD,FEASIBILITY STUDIES,2018,UNKNOWN,51237.0
BERRY GARDENS GROWERS LIMITED,COLLABORATIVE R&D,2017,SOUTH EAST,689440.0
BERRY GARDENS GROWERS LIMITED,CRD,2018,SOUTH EAST,495791.0
BERRY GARDENS GROWERS LIMITED,FEASIBILITY STUDIES,2016,SOUTH EAST,184132.0
BERRY GARDENS LIMITED,CRD,2018,UNKNOWN,103784.0
BETA BUGS LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,69908.0
BFB LABS LTD,COLLABORATIVE R&D,2018,LONDON,325031.0
BICYCLE THERAPEUTICS LIMITED,FEASIBILITY STUDIES,2018,EAST MIDLANDS,119649.0
BIG COUCH LTD,COLLABORATIVE R&D,2018,LONDON,248742.0
BIG HEALTH LTD,COLLABORATIVE R&D,2018,UNKNOWN,820979.0
BIO-FLEX YARNS LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,506680.0
BIOCATALYSTS LIMITED,FEASIBILITY STUDIES,2018,WALES,59736.0
BIOGELX LIMITED,EU-FUNDED,2017,UNKNOWN,121315.0
BIOINTERACTIONS LIMITED,EU-FUNDED,2015,SOUTH EAST,168789.0
BIOME TECHNOLOGIES PLC,COLLABORATIVE R&D,2016,SOUTH EAST,315705.0
BIOME TECHNOLOGIES PLC,COLLABORATIVE R&D,2017,SOUTH EAST,650489.0
BIOME TECHNOLOGIES PLC,EU-FUNDED,2015,SOUTH EAST,97485.0
BIOMOTI LIMITED,COLLABORATIVE R&D,2017,LONDON,662222.0
BIOMOTI LIMITED,FEASIBILITY STUDIES,2018,LONDON,78579.0
BIONEMA LIMITED,CRD,2018,WALES,594179.0
BIOPHARMA PROCESS SYSTEMS LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,78876.0
BIOPOWER TECHNOLOGIES LIMITED,FEASIBILITY STUDIES,2017,SOUTH EAST,289191.0
